"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","AK",493,2011,134408,38108,NA,7312,0,0,NA,NA,0.50518570323195,0.0371555264567585,0.064683649782751,0.0638652461163026,0.329109874412237,0.49481429676805,0.0544015237188263,1.88480056771533,0.744556479222854,1.2675232915858
"STATE","AK",495,2013,129440,37372,16.7966686953125,3750,7706.29,0,NA,NA,0.486287082818294,0.0345797280593325,0.0628244746600742,0.0666872682323857,0.349621446229913,0.513712917181706,0.0289709517923362,1.6419314483899,0.809962023942087,1.55695638125503
"STATE","AK",503,2015,132342,0,16.5955862133034,4308,7974.52999243326,0,NA,NA,0.475533088513095,0.0322497770926841,0.0599809584258965,0.0669553127502985,0.365280863218026,0.524466911486905,0.0325520243006755,NA,NA,NA
"STATE","AK",506,2017,131621,37699,18.0004621892459,4487,7312.09002392367,492,1,8.94545454545455,0.473723797874199,0.0290911024836462,0.059223072306091,0.0675424134446631,0.3704196138914,0.526276202125801,0.0340903047386055,1.864282790286,0.720262045203875,1.22803492291792
"STATE","AK",496,2020,111906,36699,14.8460747376566,4030,7537.75000984967,486,2,8.23728813559322,0.524100584419066,0.0265401318964131,0.0605686915804336,0.0816220756706522,0.384420853216092,0.475899415580934,0.0360123675227423,1.41327291381669,0.634372093023256,1.19448899316817
"STATE","AK",498,2021,128143,37225,17.5261059680113,4190,7311.54999484122,542,1,10.2264150943396,0.46883559773066,0.0239732174211623,0.0525272547076313,0.0762741624591277,0.378389767681418,0.53116440226934,0.0326978453758691,1.80201357306878,0.924985439981698,1.37556847619596
"STATE","AL",1432,2011,747743,214551,NA,25045,0,0,NA,NA,0.578165225217755,0.341832688503938,0.0135327244788651,0.0463448002856596,0.0201245615137821,0.421834774782245,0.0334941283301883,1.5038918084393,0.34225229535991,1.54020049830503
"STATE","AL",1397,2013,742606,213681,15.7321747066554,27304,47203.01,0,NA,NA,0.56825422902589,0.334709118967528,0.0138714203763503,0.0553900722590445,0.0277751593711874,0.43174577097411,0.0367678149651363,1.68422634884673,0.374972955259534,2.05586204800247
"STATE","AL",1400,2015,746839,0,15.9757740478174,31166,46748.2200089097,0,NA,NA,0.553725769543369,0.334027815901419,0.014900132424793,0.0673920349633589,0.0299542471670601,0.446274230456631,0.0417305470121405,NA,NA,NA
"STATE","AL",1390,2017,742981,218640,15.6374683178119,33466,47512.8700439129,1853,1,7.72083333333333,0.545406948495318,0.327751315309544,0.015147089898665,0.0774528554565998,0.0342417908398734,0.454593051504682,0.0450428745822571,1.77578019293001,0.40187242809504,1.61898771078738
"STATE","AL",1396,2020,730852,215487,15.1735606859741,31165,48166.1499977112,1925,1,7.29166666666667,0.535752792631066,0.32371670324498,0.0159252488875997,0.0910293739361731,0.0345911347304242,0.464247207368934,0.042642012336287,1.82978401667797,0.424140588545844,1.68781675320294
"STATE","AL",1371,2021,733112,218469,15.3926941470529,27997,47627.2699890137,1782,1,7.04347826086957,0.528856436669977,0.318271969358024,0.0148190181036458,0.0920432348672508,0.0460093410011021,0.471143563330023,0.0381892534837787,2.0174961545056,0.40877073798671,1.9100397828028
"STATE","AR",1097,2011,477512,133794,NA,29615,0,0,NA,NA,0.64614292415688,0.210093149491531,0.016016351421535,0.099968168339225,0.0277794065908291,0.35385707584312,0.0620193838060614,1.8806833443803,0.529585916460939,1.3605497178574
