"YEAR","gap_var","b1","b2","b3","b4","n_gt1","min","max","n"
2011,"ENR_AP_GAP_AS",1.07763762534651,1.20462127152083,1.34524384827036,1.62329219862715,475,0.00314465408805031,7.65273323726891,4579
2011,"ENR_AP_GAP_BL",1.40547239070136,1.83974840567521,2.38819625801175,3.288680063824,3252,0.0015691643743125,50.7746358183376,4475
2011,"ENR_AP_GAP_HI",1.27894397602646,1.55113685099955,1.91726096052255,2.59219022807258,3550,0.00686672609025783,240.75641025641,5126
2013,"ENR_AP_GAP_AS",1.07861249526317,1.19090165661375,1.34514895668651,1.72004821122826,430,0.00617919670442842,11.2815964523282,4633
2013,"ENR_AP_GAP_BL",1.40957148578294,1.8080361784141,2.28366345371008,3.17828167775814,3245,0.018450184501845,39.5733333333333,4455
2013,"ENR_AP_GAP_HI",1.25789721829326,1.52255575430756,1.87183308494784,2.51748251748252,3691,0.0188172043010753,39.7894736842105,5274
2015,"ENR_AP_GAP_AS",1.08428121691648,1.17282806960569,1.33900542974061,1.74381793212587,404,0.00740740740740741,5.45736434108527,4104
2015,"ENR_AP_GAP_BL",1.40872616782192,1.82031178942011,2.28993136293599,3.1541251963894,2855,0.0133333333333333,74.6666666666667,3905
2015,"ENR_AP_GAP_HI",1.24209055863232,1.51688364420019,1.84845688019845,2.43850897376898,3278,0.0242718446601942,30.534435261708,4685
2017,"ENR_AP_GAP_AS",1.0769653335843,1.16867256048211,1.31820654586545,1.65222222222222,617,0.00704225352112676,20.2702702702703,4980
2017,"ENR_AP_GAP_BL",1.39996042250597,1.78008588035528,2.24058408231203,3.07871113427132,3753,0.0144927536231884,119.078947368421,4689
2017,"ENR_AP_GAP_HI",1.24607616807172,1.48571428571429,1.83721902434318,2.40379454388462,4451,0.0072463768115942,108.064516129032,5806
2020,"ENR_AP_GAP_AS",1.0860039785042,1.19730997521766,1.38175215276977,1.77321457869448,568,0.00836820083682008,18.3643410852713,4998
2020,"ENR_AP_GAP_BL",1.41169045458296,1.81576840160148,2.31571396781568,3.20280431377016,3743,0.0126050420168067,44.1351351351351,4781
2020,"ENR_AP_GAP_HI",1.25833887043189,1.50980392156863,1.86486486486486,2.53636363636364,4686,0.0338983050847458,81.0512333965844,6055
2021,"ENR_AP_GAP_AS",1.07598313420806,1.17601855453275,1.36298379946804,1.72701810176125,608,0.00540540540540541,8,5000
2021,"ENR_AP_GAP_BL",1.40142021720969,1.78638941398866,2.30771265340669,3.23809523809524,3741,0.016597510373444,43.0520646319569,4699
2021,"ENR_AP_GAP_HI",1.27398869284097,1.52496078431373,1.88480088401547,2.52880534659329,4760,0.0142857142857143,105.541683129198,6068
