LEA_STATE,YEAR,gap_var,b1,b2,b3,b4,n_gt1,min,max,n
AK,2011,ENR_AP_GAP_AS,1.126675321,1.338636364,2.069740916,2.439814815,6,0.382653061,2.724009901,10
AK,2011,ENR_AP_GAP_BL,1.191348033,1.457466238,2.060624787,2.610252754,4,0.038366337,3.13311543,7
AK,2011,ENR_AP_GAP_HI,1.052083333,1.389520202,1.611434739,1.744360902,6,0.181034483,1.899491908,10
AK,2013,ENR_AP_GAP_AS,1.082222531,1.11085514,1.150935991,1.244971828,5,0.282047364,1.424050633,11
AK,2013,ENR_AP_GAP_BL,1.793444272,1.970924688,2.111612542,2.215507833,3,0.282051282,2.319403125,7
AK,2013,ENR_AP_GAP_HI,1.282861232,1.486899502,1.805347055,2.247261631,5,0.42721519,2.897590361,9
AK,2017,ENR_AP_GAP_AS,1.274490045,1.283103448,1.284984242,1.7404948,5,0.098765432,3.552631579,13
AK,2017,ENR_AP_GAP_BL,1.201923077,1.957161812,1.986265188,2.333377804,6,0.905325444,3.308843537,7
AK,2017,ENR_AP_GAP_HI,1.33639576,1.416718266,1.488188002,1.564432939,6,0.69408284,2.400070435,9
AK,2020,ENR_AP_GAP_AS,1.391109854,1.52127624,1.713484032,1.909165731,5,0.414473684,1.909465021,10
AK,2020,ENR_AP_GAP_BL,1.20339517,1.404609799,1.690493335,1.899992513,4,0.236842105,2.07129951,6
AK,2020,ENR_AP_GAP_HI,1.132839725,1.396226438,2.053715716,2.746869313,7,0.196261682,2.930232558,11
AK,2021,ENR_AP_GAP_AS,1.098922429,1.318159611,1.425293473,1.720265152,8,0.357142857,3.480662983,11
AK,2021,ENR_AP_GAP_BL,1.319736906,1.731493881,1.991461192,2.021603729,5,0.417721519,2.127311248,7
AK,2021,ENR_AP_GAP_HI,1.511111487,1.664010149,1.84140988,1.942327242,7,0.285714286,3.779005525,10
AL,2011,ENR_AP_GAP_AS,1.975406195,2.467761543,2.960116891,3.452472238,2,0.054918187,3.944827586,53
AL,2011,ENR_AP_GAP_BL,1.569109011,2.054313796,2.931279494,4.613445448,64,0.253547777,13,72
AL,2011,ENR_AP_GAP_HI,1.218883396,1.480164393,1.698238024,2.145973397,33,0.130890052,5.859955752,50
AL,2013,ENR_AP_GAP_AS,1.161604271,1.285141503,1.533203046,1.797552482,5,0.010721944,1.829867675,55
AL,2013,ENR_AP_GAP_BL,1.520463262,2.03761956,2.663126997,3.978322007,65,0.3125,23.95205479,78
AL,2013,ENR_AP_GAP_HI,1.303632311,1.627528275,1.977156026,2.877737635,43,0.12154294,14.01718547,52
AL,2017,ENR_AP_GAP_AS,1.065739967,1.157819225,1.233870968,1.278106509,6,0.046620047,2.059991725,69
AL,2017,ENR_AP_GAP_BL,1.433838958,1.918320789,2.471962617,3.367892977,71,0.252940375,7.5355233,89
AL,2017,ENR_AP_GAP_HI,1.327225887,1.857004711,2.198836374,2.666500333,55,0.565438374,22.04844498,64
AL,2020,ENR_AP_GAP_AS,1.012055838,1.03343465,1.082474227,1.08875,11,0.032490975,18.36434109,72
AL,2020,ENR_AP_GAP_BL,1.4514174,1.953977061,2.588232956,3.222379603,81,0.097207304,7.416309013,101
AL,2020,ENR_AP_GAP_HI,1.37708703,2.057184031,2.421385955,3.399553193,57,0.056994819,22.64206642,70
AL,2021,ENR_AP_GAP_AS,1.094512057,1.198285624,1.444726985,2.001162458,9,0.096899225,3.081255028,68
AL,2021,ENR_AP_GAP_BL,1.543602082,1.871718169,2.257257683,3.33364486,74,0.288888889,7.318860244,90
AL,2021,ENR_AP_GAP_HI,1.497566127,1.86595086,2.332056544,3.087188105,64,0.387596899,6.844155844,82
AR,2011,ENR_AP_GAP_AS,1.240185692,1.377918847,1.455047888,1.713796443,8,0.066666667,1.859673025,82
AR,2011,ENR_AP_GAP_BL,1.265897648,1.656171487,2.184577568,3.271345699,94,0.04516129,9.415584416,134
AR,2011,ENR_AP_GAP_HI,1.297892687,1.48735106,1.792181716,2.407050812,67,0.047692308,17.27709152,125
AR,2013,ENR_AP_GAP_AS,1.069621918,1.142644586,1.303257668,2.06711536,8,0.02994012,5.068965517,89
AR,2013,ENR_AP_GAP_BL,1.355245873,1.700758183,2.34728573,3.141222678,83,0.077464789,7.206625259,120
AR,2013,ENR_AP_GAP_HI,1.229005168,1.415560915,1.751642047,2.292591719,64,0.018817204,10.53731884,122
AR,2017,ENR_AP_GAP_AS,1.082954268,1.123780488,1.259721457,1.612545405,15,0.05,2.853012048,101
AR,2017,ENR_AP_GAP_BL,1.288434786,1.74812002,2.093954864,2.839840696,97,0.014492754,6.162196679,131
AR,2017,ENR_AP_GAP_HI,1.233730475,1.46753696,1.828672746,2.326261878,87,0.007246377,10.86295503,137
AR,2020,ENR_AP_GAP_AS,1.233881579,1.333333333,1.41954023,1.996688742,11,0.091666667,4.18336163,86
AR,2020,ENR_AP_GAP_BL,1.412495795,1.759556317,2.288314872,3.120665648,90,0.121900826,6.982300885,130
AR,2020,ENR_AP_GAP_HI,1.241572739,1.440183208,1.804480702,2.343194705,78,0.089552239,36.74594595,137
AR,2021,ENR_AP_GAP_AS,1.075862069,1.244444444,1.481375358,1.614349776,16,0.035087719,3.492063492,92
AR,2021,ENR_AP_GAP_BL,1.363071253,1.745595611,2.351338186,3.058103467,100,0.0243309,6.116312057,128
AR,2021,ENR_AP_GAP_HI,1.169230769,1.326492583,1.628104575,2.247311828,96,0.0486618,12.61787819,164
AZ,2011,ENR_AP_GAP_AS,1.100386427,1.15876202,1.193500247,1.242399582,5,0.0625,1.393274505,66
AZ,2011,ENR_AP_GAP_BL,1.137736634,1.295976387,1.658880289,2.028415574,37,0.057692308,16.76780627,57
AZ,2011,ENR_AP_GAP_HI,1.434402308,1.7114727,2.07725498,2.9428102,68,0.425,9.6,79
AZ,2013,ENR_AP_GAP_AS,1.025477787,1.046111825,1.066745862,1.0873799,2,0.053819444,1.108013937,68
AZ,2013,ENR_AP_GAP_BL,1.19701761,1.369789921,1.600627084,1.888176174,35,0.136904762,12.03172135,59
AZ,2013,ENR_AP_GAP_HI,1.314142367,1.484453568,1.835945383,2.503945585,72,0.037735849,8.178198109,85
AZ,2017,ENR_AP_GAP_AS,1.033192296,1.045368289,1.051476454,1.082069287,7,0.048103608,1.333333333,78
AZ,2017,ENR_AP_GAP_BL,1.197522644,1.406302016,1.639102147,1.947508627,50,0.326086957,3.751913265,72
AZ,2017,ENR_AP_GAP_HI,1.215872105,1.398701652,1.645527017,2.114377713,78,0.5,6.209926224,99
AZ,2020,ENR_AP_GAP_AS,1.148990902,1.30702169,1.561980406,1.736869692,14,0.078380706,4.072727273,79
AZ,2020,ENR_AP_GAP_BL,1.270542209,1.447611505,1.806445542,2.048021253,47,0.155266015,5.29010989,76
AZ,2020,ENR_AP_GAP_HI,1.302786378,1.479009194,1.693166964,2.031601366,73,0.430769231,19.76923077,96
AZ,2021,ENR_AP_GAP_AS,1.023387282,1.064316353,1.33833418,1.633009232,9,0.068535826,1.862068966,75
AZ,2021,ENR_AP_GAP_BL,1.310304984,1.550359296,1.836289646,2.340851582,43,0.100917431,3.9,72
AZ,2021,ENR_AP_GAP_HI,1.316133914,1.507537043,1.651113708,2.087742911,72,0.095238095,3.615264798,92
CA,2011,ENR_AP_GAP_AS,1.032237197,1.098882392,1.236841478,1.560902489,43,0.046099291,7.652733237,348
CA,2011,ENR_AP_GAP_BL,1.374110995,1.70813652,2.02647727,2.603945363,228,0.092171717,10.47785548,307
CA,2011,ENR_AP_GAP_HI,1.305361305,1.52238806,1.716065176,2.222040289,331,0.039135532,15.93406593,382
CA,2013,ENR_AP_GAP_AS,1.035084324,1.090102514,1.26731688,1.544692902,38,0.079113924,3.138117284,352
CA,2013,ENR_AP_GAP_BL,1.31267588,1.527078566,1.753027976,2.240047096,236,0.075581395,6.900660202,310
CA,2013,ENR_AP_GAP_HI,1.255503294,1.468045072,1.724222692,2.02984151,340,0.127272727,14.97878128,392
CA,2017,ENR_AP_GAP_AS,1.125,1.292396061,1.545454545,1.784242424,26,0.15483871,20.27027027,333
CA,2017,ENR_AP_GAP_BL,1.270345051,1.470839888,1.704046994,2.235175663,238,0.065217391,119.0789474,292
CA,2017,ENR_AP_GAP_HI,1.201819814,1.362554748,1.534901588,1.833831198,310,0.318470327,108.0645161,376
CA,2020,ENR_AP_GAP_AS,1.093064089,1.207510301,1.369263415,1.714125776,68,0.02,3.542372881,455
CA,2020,ENR_AP_GAP_BL,1.284362769,1.568029911,1.906013188,2.516249532,307,0.02029268,19.5,403
CA,2020,ENR_AP_GAP_HI,1.22,1.394844723,1.610526316,2.112732095,426,0.07628866,81.0512334,535
CA,2021,ENR_AP_GAP_AS,1.078467958,1.1496875,1.335897436,1.5,73,0.01214128,3.9375,454
CA,2021,ENR_AP_GAP_BL,1.250204082,1.527360228,1.98552745,2.541932784,309,0.02020202,22,401
CA,2021,ENR_AP_GAP_HI,1.225704118,1.438668831,1.668198737,2.212729671,418,0.067171239,45,534
CO,2011,ENR_AP_GAP_AS,1.142431986,1.273993108,1.425971731,1.563885135,5,0.071942446,1.721254355,52
CO,2011,ENR_AP_GAP_BL,1.120454443,1.416203378,1.721207922,1.91429354,25,0.035971223,4.037664982,39
CO,2011,ENR_AP_GAP_HI,1.427618304,1.746444895,2.14089396,2.676819506,65,0.316831683,25.81308411,76
CO,2013,ENR_AP_GAP_AS,1.032444559,1.159742221,1.335654396,1.391515605,7,0.047794118,1.581081081,50
CO,2013,ENR_AP_GAP_BL,1.200386786,1.500182481,1.614301374,1.887480834,23,0.031847134,2.63589338,39
CO,2013,ENR_AP_GAP_HI,1.234795907,1.545079649,1.798290024,2.273353313,65,0.133333333,10.46691176,75
CO,2017,ENR_AP_GAP_AS,1.1383819,1.271176098,1.345918287,1.35094069,7,0.059907834,1.822485207,57
CO,2017,ENR_AP_GAP_BL,1.253024613,1.521363976,1.975532005,2.504770847,30,0.105499439,5.90619469,42
CO,2017,ENR_AP_GAP_HI,1.339772141,1.643303073,2.025357318,2.43188535,67,0.728070175,14.96825397,80
CO,2020,ENR_AP_GAP_AS,1.04424481,1.06559569,1.203580286,1.288699602,9,0.067114094,1.723101266,57
CO,2020,ENR_AP_GAP_BL,1.334855317,1.54403867,1.662868387,2.194941372,32,0.025641026,8.748686244,47
CO,2020,ENR_AP_GAP_HI,1.232574784,1.609225852,1.943173857,2.502054098,69,0.054825714,5.823923445,85
CO,2021,ENR_AP_GAP_AS,1.129783553,1.157612673,1.18036988,1.223944049,7,0.072115385,1.287028399,60
CO,2021,ENR_AP_GAP_BL,1.253382003,1.473208023,1.860501885,2.185965315,35,0.28875,4.382328308,42
CO,2021,ENR_AP_GAP_HI,1.346585486,1.697158131,1.977178795,2.529748048,68,0.254545455,5.03125,85
CT,2011,ENR_AP_GAP_AS,1.01240943,1.071398899,1.214735084,1.396088443,9,0.138888889,6.654589372,106
CT,2011,ENR_AP_GAP_BL,1.533492581,2.125954011,2.673489985,3.129340255,68,0.074270557,7.929752066,95
CT,2011,ENR_AP_GAP_HI,1.332659396,1.662082851,1.983699242,2.787398491,83,0.316455696,7.871273713,104
CT,2013,ENR_AP_GAP_AS,1.127906977,1.329545455,1.464751958,1.612644225,6,0.128419453,1.881088825,108
CT,2013,ENR_AP_GAP_BL,1.29713539,1.763235633,2.082458276,2.755747549,80,0.11814346,7.873781148,103
CT,2013,ENR_AP_GAP_HI,1.400326168,1.784043385,2.174780944,2.807862716,92,0.143700787,8.205929919,111
CT,2017,ENR_AP_GAP_AS,1.050193466,1.155618463,1.317198598,1.617722256,14,0.298013245,2.739130435,119
CT,2017,ENR_AP_GAP_BL,1.570353274,1.950468253,2.341570892,3.291319437,89,0.17219917,32.08695652,104
CT,2017,ENR_AP_GAP_HI,1.46980891,1.815011444,2.176050431,2.964819991,105,0.284552846,6.705298013,120
CT,2020,ENR_AP_GAP_AS,1.077348066,1.185851319,1.227606461,1.665346535,16,0.146537842,3.877458396,118
CT,2020,ENR_AP_GAP_BL,1.383650359,1.888959869,2.29646692,2.841361161,89,0.4,35.6039604,100
CT,2020,ENR_AP_GAP_HI,1.519119466,1.781615085,2.095597375,2.914012739,111,0.398544521,17.22666667,120
CT,2021,ENR_AP_GAP_AS,1.041904685,1.090542964,1.337465063,1.544406895,12,0.146341463,2.256578947,121
