"YEAR","gap_var","b1","b2","b3","b4","min","max"
2011,"ENR_AP_GAP_AS",1.11464813314659,1.21944258196339,1.32423703078019,1.42903147959698,0.246759541480468,1.53382592841378
2011,"ENR_AP_GAP_BL",1.421714977153,1.58614155624625,1.84610467524679,2.20952967517606,1.03395782145782,3.54958244654992
2011,"ENR_AP_GAP_HI",1.44200785746278,1.56723870745566,1.71822006546213,2.01784425003693,0.699557555634827,2.57064995616337
2013,"ENR_AP_GAP_AS",1.11248100969966,1.11248100969966,1.11248100969966,1.11248100969966,0.244894142398514,1.11248100969966
2013,"ENR_AP_GAP_BL",1.40228170770904,1.63475468709211,1.78089778848887,2.15683702204974,0.926791839992843,3.51258914660639
2013,"ENR_AP_GAP_HI",1.2691267512771,1.55446677508749,1.65471434520219,1.96649529517466,0.809613178070895,2.63633488313249
2015,"ENR_AP_GAP_AS",1.0451715822794,1.07252523947824,1.09987889667708,1.12723255387592,0.25602336405214,1.15458621107476
2015,"ENR_AP_GAP_BL",1.28993967158291,1.5135994043114,1.78672296247195,2.06273130515457,0.82937818254234,3.05106412597951
2015,"ENR_AP_GAP_HI",1.22493456006409,1.41007404073977,1.59813083665161,1.74619215755304,0.891535596459893,2.26525190741803
2017,"ENR_AP_GAP_AS",1.14224636643122,1.14224636643122,1.14224636643122,1.14224636643122,0.247210285215559,1.14224636643122
2017,"ENR_AP_GAP_BL",1.39239621517529,1.58991153015587,1.78432250878333,2.06172109895417,0.869431451391836,3.05234544102017
2017,"ENR_AP_GAP_HI",1.22743998773689,1.3767596834692,1.60756354152367,1.82777682424644,0.687219259198704,2.1933431393591
2020,"ENR_AP_GAP_AS",1.1831566793913,1.1831566793913,1.1831566793913,1.1831566793913,0.281129038597869,1.1831566793913
2020,"ENR_AP_GAP_BL",1.40051700186457,1.55433636145962,1.80479400728638,2.0441377433122,0.6,3.66926127451348
2020,"ENR_AP_GAP_HI",1.24024966556562,1.35787400804815,1.68400714131506,1.90518958083138,0.743106222344909,2.7487678299688
2021,"ENR_AP_GAP_AS",1.0694804277168,1.0694804277168,1.0694804277168,1.0694804277168,0.237433257079391,1.0694804277168
2021,"ENR_AP_GAP_BL",1.41535017811316,1.58938524806267,1.85296984042235,2.0174961545056,0.727647780826524,3.57159230485621
2021,"ENR_AP_GAP_HI",1.22619029513483,1.46619223720723,1.67558539025572,2.00057389357391,0.746816659722224,2.58572812639711
